k,t_k,a_k,b_k,wall_thickness,wall_error,E_500(t_k),E_500(t_k+0.5),A_500,ratio_zeros_500,ratio_off_500,E_200(t_k),E_101(t_k)
35,111.87465917699264,17.80540501473945,17.713538288440297,0.09186672629915194,2.0539125955565396e-15,-2.5402786412303624,0.3885827310392562,1.4800563607762935,-1.7163391263681198,0.26254590118138715,-2.0465068254218517,-1.9429430432598822
36,114.32022091545271,18.19462825405178,18.102761527752627,0.09186672629915194,2.0539125955565396e-15,-2.196065049884056,0.36237197709031266,1.4800563607762935,-1.483771232017282,0.24483660669533394,-1.8118195358301867,-1.7854636334484986
37,116.22668032085755,18.498050692225995,18.406183965926843,0.09186672629915194,2.0539125955565396e-15,-1.2433665767689934,0.7102788655063014,1.4800563607762935,-0.8400805602543705,0.4798998770112769,-1.1554710132822366,-1.0853992284600655
38,118.79078286597621,18.90614028687614,18.814273560576986,0.09186672629915549,1.4988010832439613e-15,-1.3161548334012434,1.009195939589332,1.4800563607762935,-0.8892599419058046,0.6818631819264004,-0.8630367860899343,-0.8208996991916262
39,121.37012500242065,19.31665533781648,19.22478861151733,0.09186672629915194,2.0539125955565396e-15,-1.6711581155674609,-0.14420276610034571,1.4800563607762935,-1.1291178902747554,-0.09743059110580828,-1.445670180741472,-1.4379819747865845
40,122.94682929355258,19.56759561954433,19.47572889324518,0.09186672629915194,2.0539125955565396e-15,-2.321641800231422,-0.43535239678899235,1.4800563607762935,-1.5686171565883578,-0.2941458233121939,-2.2391966799901484,-2.321202463646231
41,124.25681855434577,19.776086885796865,19.684220159497713,0.09186672629915194,2.0539125955565396e-15,-1.5765468136677774,0.7852066054442083,1.4800563607762935,-1.0651937692702962,0.5305248004423057,-1.4967422350905972,-1.4416176545169976
42,127.5166838795965,20.29491056612439,20.203043839825234,0.09186672629915549,1.4988010832439613e-15,-1.3546834349004184,0.7400293074550817,1.4800563607762935,-0.9152917894220483,0.5000007615027136,-1.2394892030611113,-1.2178802881919186
43,129.57870419995606,20.623091292865546,20.531224566566394,0.09186672629915194,2.0539125955565396e-15,-1.5661760433313416,0.2072846824323159,1.4800563607762935,-1.0581867588541547,0.14005188445904487,-1.4744330826677072,-1.297397221894313
44,131.08768853093267,20.86325360818869,20.771386881889537,0.09186672629915194,2.0539125955565396e-15,-2.1882787735122475,0.2456518158839197,1.4800563607762935,-1.4785104348083673,0.16597463609769203,-1.8228353987917205,-1.9435169853831786
45,133.4977372029976,21.246824767439882,21.15495804114073,0.09186672629915194,2.0539125955565396e-15,-1.6507588706594052,0.27038022429725916,1.4800563607762935,-1.1153351415574322,0.1826823839028968,-1.4524617153044441,-1.40598533542144
46,134.75650975337388,21.44716464106066,21.355297914761504,0.09186672629915549,1.4988010832439613e-15,-1.482078069104578,0.5619908822378206,1.4800563607762935,-1.0013659671225115,0.3797091091470698,-1.4988229948708758,-1.5334707094798052
47,138.11604205453344,21.981850813267094,21.88998408696794,0.09186672629915549,1.4988010832439613e-15,-1.2311549722176305,0.3432147496978073,1.4800563607762935,-0.8318297903006115,0.23189302704512565,-0.7792942767076241,-0.7799853564329655
48,139.7362089521214,22.239708383652076,22.147841657352924,0.09186672629915194,2.0539125955565396e-15,-2.1389025919789635,-0.46396438998395917,1.4800563607762935,-1.445149420429573,-0.3134775149647738,-1.6766991271394964,-1.8966726140493626
49,141.12370740402113,22.460535620804272,22.36866889450512,0.09186672629915194,2.0539125955565396e-15,-1.8311675674678345,0.6686850254345926,1.4800563607762935,-1.2372282677852768,0.45179700121951133,-1.878835980873279,-1.6800003815000792
