k,t_k,a_k,b_k,wall,err
1,14.134725141734695,2.2496113755523677,2.1577446492532135,0.09186672629915416,1.6653345369377348e-16
2,21.022039638771556,3.345761522384255,3.253894796085101,0.09186672629915416,1.6653345369377348e-16
3,25.01085758014569,3.9806016148475862,3.8887348885484325,0.09186672629915371,2.7755575615628914e-16
4,30.424876125859512,4.842269428389136,4.750402702089982,0.09186672629915371,2.7755575615628914e-16
5,32.93506158773919,5.2417778527247,5.149911126425546,0.09186672629915371,2.7755575615628914e-16
6,37.586178158825675,5.98202604590974,5.890159319610587,0.09186672629915371,2.7755575615628914e-16
7,40.9187190121475,6.5124163957715915,6.420549669472438,0.09186672629915371,2.7755575615628914e-16
8,43.327073280915,6.895717882362407,6.803851156063253,0.09186672629915371,2.7755575615628914e-16
9,48.00515088116716,7.640257056610009,7.5483903303108555,0.09186672629915371,2.7755575615628914e-16
10,49.7738324776723,7.921751475449467,7.829884749150313,0.09186672629915371,2.7755575615628914e-16
11,52.970321477714464,8.430488500345048,8.338621774045894,0.09186672629915371,2.7755575615628914e-16
12,56.44624769706339,8.983699339977152,8.891832613677998,0.09186672629915371,2.7755575615628914e-16
13,59.34704400260235,9.445375410906387,9.353508684607233,0.09186672629915371,2.7755575615628914e-16
14,60.83177852460981,9.681678249263056,9.589811522963902,0.09186672629915371,2.7755575615628914e-16
15,65.1125440480816,10.362983242540956,10.271116516241802,0.09186672629915371,2.7755575615628914e-16
16,67.07981052949417,10.676083427436767,10.584216701137613,0.09186672629915371,2.7755575615628914e-16
17,69.54640171117398,11.068653606587988,10.976786880288834,0.09186672629915371,2.7755575615628914e-16
18,72.0671576744819,11.469844378476816,11.377977652177663,0.09186672629915371,2.7755575615628914e-16
19,75.70469069908393,12.048775740002242,11.956909013703088,0.09186672629915371,2.7755575615628914e-16
20,77.1448400688748,12.277982630995137,12.186115904695983,0.09186672629915371,2.7755575615628914e-16
21,79.33737502024937,12.626935406408148,12.535068680108994,0.09186672629915371,2.7755575615628914e-16
22,82.91038085408603,13.195596946559432,13.103730220260278,0.09186672629915371,2.7755575615628914e-16
23,84.73549298051705,13.486072563177888,13.394205836878735,0.09186672629915371,2.7755575615628914e-16
24,87.42527461312523,13.914164605845269,13.822297879546115,0.09186672629915371,2.7755575615628914e-16
25,88.80911120763446,14.134409040292867,14.042542313993714,0.09186672629915371,2.7755575615628914e-16
26,92.49189927055849,14.720542964867054,14.6286762385679,0.09186672629915371,2.7755575615628914e-16
27,94.65134404051989,15.06422927434035,14.972362548041197,0.09186672629915371,2.7755575615628914e-16
28,95.87063422824531,15.258285334780295,15.166418608481143,0.09186672629915194,2.0539125955565396e-15
29,98.83119421819369,15.729473091500672,15.637606365201519,0.09186672629915371,2.7755575615628914e-16
30,101.31785100573138,16.12523681101031,16.033370084711155,0.09186672629915549,1.4988010832439613e-15
31,103.72553804047834,16.508432104008556,16.416565377709404,0.09186672629915194,2.0539125955565396e-15
32,105.44662305232609,16.782351291125497,16.690484564826345,0.09186672629915194,2.0539125955565396e-15
33,107.1686111842764,17.05641421427097,16.964547487971817,0.09186672629915194,2.0539125955565396e-15
34,111.02953554316967,17.67089941089274,17.579032684593585,0.09186672629915549,1.4988010832439613e-15
35,111.87465917699264,17.80540501473945,17.713538288440297,0.09186672629915194,2.0539125955565396e-15
36,114.32022091545271,18.19462825405178,18.102761527752627,0.09186672629915194,2.0539125955565396e-15
37,116.22668032085755,18.498050692225995,18.406183965926843,0.09186672629915194,2.0539125955565396e-15
38,118.79078286597621,18.90614028687614,18.814273560576986,0.09186672629915549,1.4988010832439613e-15
39,121.37012500242065,19.31665533781648,19.22478861151733,0.09186672629915194,2.0539125955565396e-15
40,122.94682929355258,19.56759561954433,19.47572889324518,0.09186672629915194,2.0539125955565396e-15
41,124.25681855434577,19.776086885796865,19.684220159497713,0.09186672629915194,2.0539125955565396e-15
42,127.5166838795965,20.29491056612439,20.203043839825234,0.09186672629915549,1.4988010832439613e-15
43,129.57870419995606,20.623091292865546,20.531224566566394,0.09186672629915194,2.0539125955565396e-15
44,131.08768853093267,20.86325360818869,20.771386881889537,0.09186672629915194,2.0539125955565396e-15
45,133.4977372029976,21.246824767439882,21.15495804114073,0.09186672629915194,2.0539125955565396e-15
46,134.75650975337388,21.44716464106066,21.355297914761504,0.09186672629915549,1.4988010832439613e-15
47,138.11604205453344,21.981850813267094,21.88998408696794,0.09186672629915549,1.4988010832439613e-15
48,139.7362089521214,22.239708383652076,22.147841657352924,0.09186672629915194,2.0539125955565396e-15
49,141.12370740402113,22.460535620804272,22.36866889450512,0.09186672629915194,2.0539125955565396e-15
50,143.11184580762063,22.77695767528796,22.685090948988808,0.09186672629915194,2.0539125955565396e-15
51,146.0009824867655,23.236778059041974,23.14491133274282,0.09186672629915549,1.4988010832439613e-15
52,147.42276534255961,23.463061828544916,23.371195102245764,0.09186672629915194,2.0539125955565396e-15
53,150.05352042078488,23.881759503308572,23.78989277700942,0.09186672629915194,2.0539125955565396e-15
54,150.92525761224147,24.020500786405936,23.92863406010678,0.09186672629915549,1.4988010832439613e-15
55,153.0246938111989,24.35463643517607,24.262769708876913,0.09186672629915549,1.4988010832439613e-15
56,156.11290929423788,24.84614119463465,24.754274468335495,0.09186672629915549,1.4988010832439613e-15
57,157.59759181759406,25.082435757148936,24.99056903084978,0.09186672629915549,1.4988010832439613e-15
58,158.8499881714205,25.28176082757068,25.189894101271527,0.09186672629915194,2.0539125955565396e-15
59,161.18896413759603,25.654020414360655,25.562153688061503,0.09186672629915194,2.0539125955565396e-15
60,163.030709687182,25.94714332249476,25.85527659619561,0.09186672629915194,2.0539125955565396e-15
61,165.5370691879004,26.346042826199433,26.254176099900278,0.09186672629915549,1.4988010832439613e-15
62,167.1844399781745,26.608230030576756,26.516363304277604,0.09186672629915194,2.0539125955565396e-15
63,169.09451541556882,26.912227978116476,26.82036125181732,0.09186672629915549,1.4988010832439613e-15
64,169.9119764794117,27.04233094721223,26.950464220913073,0.09186672629915549,1.4988010832439613e-15
65,173.41153651959155,27.599303226253724,27.507436499954572,0.09186672629915194,2.0539125955565396e-15
66,174.75419152336573,27.812993406971454,27.7211266806723,0.09186672629915549,1.4988010832439613e-15
67,176.44143429771043,28.081526434704493,27.98965970840534,0.09186672629915194,2.0539125955565396e-15
68,178.37740777609997,28.389646183485002,28.297779457185847,0.09186672629915549,1.4988010832439613e-15
69,179.916484020257,28.6345977755379,28.542731049238746,0.09186672629915549,1.4988010832439613e-15
70,182.20707848436646,28.999157207119854,28.9072904808207,0.09186672629915549,1.4988010832439613e-15
71,184.8744678483875,29.423685409554547,29.331818683255392,0.09186672629915549,1.4988010832439613e-15
72,185.59878367770747,29.538963854150527,29.447097127851375,0.09186672629915194,2.0539125955565396e-15
73,187.22892258350186,29.798408518934117,29.70654179263496,0.09186672629915549,1.4988010832439613e-15
74,189.41615865601693,30.146517951583792,30.05465122528464,0.09186672629915194,2.0539125955565396e-15
75,192.0266563607138,30.561991565216346,30.47012483891719,0.09186672629915549,1.4988010832439613e-15
76,193.0797266038457,30.729592899833772,30.63772617353462,0.09186672629915194,2.0539125955565396e-15
77,195.26539667952923,31.077453096346844,30.98558637004769,0.09186672629915194,2.0539125955565396e-15
