sigma,mean_chi,std_chi,std_chi_minus_1
0.4,1.347235431949719,0.07702916529309292,0.07702916529309294
0.41000000000000003,1.3074754551327916,0.06752834171506762,0.06752834171506762
0.42000000000000004,1.2689306044944866,0.05847140556351805,0.05847140556351805
0.43000000000000005,1.2315628751234948,0.04984060144233541,0.04984060144233542
0.44000000000000006,1.1953354706516692,0.04161884444418708,0.04161884444418708
0.45000000000000007,1.160212764335705,0.03378969554022549,0.03378969554022549
0.4600000000000001,1.1261602614045694,0.026337337859185565,0.026337337859185565
0.4700000000000001,1.0931445626311689,0.019246553823667426,0.019246553823667422
0.4800000000000001,1.061133329088263,0.012502703113195552,0.012502703113195552
0.4900000000000001,1.0300952480498091,0.006091701424465682,0.006091701424465682
0.5000000000000001,0.9999999999999892,2.742325483988055e-14,2.742092459447722e-14
0.5100000000000001,0.9708182267138458,0.005785434102249381,0.005785434102249381
0.5200000000000001,0.9425215003744276,0.011277137024641016,0.011277137024641016
0.5300000000000001,0.9150822936923046,0.016487166437038635,0.016487166437038635
0.5400000000000001,0.8884739509949569,0.021427119199652934,0.021427119199652938
0.5500000000000002,0.8626706602539058,0.026108148385756987,0.026108148385756993
0.5600000000000002,0.8376474260193373,0.03054097968688103,0.03054097968688103
0.5700000000000002,0.8133800432321544,0.03473592722298838,0.03473592722298838
0.5800000000000002,0.7898450718849844,0.038702908778749004,0.038702908778749004
0.5900000000000002,0.7670198125042395,0.042451460486608146,0.042451460486608146
0.6000000000000002,0.7448822824266286,0.04599075097647394,0.04599075097647394
